Fold,MFCC_Accuracy,MFCC_MacroF1,YAMNet_Accuracy,YAMNet_MacroF1
1,0.65979381443299,0.665640225719949,0.797250859106529,0.818159793208409
2,0.627252252252252,0.622190919625494,0.751126126126126,0.765745150891786
3,0.551351351351351,0.58130614025191,0.732972972972973,0.736353186125643
4,0.635353535353535,0.62718796071131,0.757575757575758,0.749084636046249
5,0.708333333333333,0.71786205394523,0.805555555555556,0.817193996965808
6,0.591737545565006,0.595604846766924,0.786148238153098,0.786412694966598
7,0.627684964200477,0.62432343640736,0.776849642004773,0.773486797340481
8,0.590570719602978,0.609941550469061,0.772952853598015,0.78815700260112
9,0.656862745098039,0.668122044035987,0.822303921568627,0.838922454304562
10,0.694145758661888,0.710637419929781,0.833930704898447,0.84480524895914
